filename	size	container	runtime_s	vcodec	width	height	vbitrate	acodec	channels	abitrate
GOLDEN_COLLECTION_VOLUME_3_D4.m4v	2162904548	mov,mp4,m4a,3gp,3g2,mj2	6636.726511	h264	720	478	2436934	aac	1	164495
GRAVITY.m4v	591499858	mov,mp4,m4a,3gp,3g2,mj2	5459.120300	h264	720	360	696490	aac	2	163835
HARRY_POTTER_GOBLET_OF_FIRE.mp4	940102149	mov,mp4,m4a,3gp,3g2,mj2	9423.573333	h264	640	480	665185	aac	2	127767
HIDDEN_FIGURES.m4v	509556877	mov,mp4,m4a,3gp,3g2,mj2	7603.287333	h264	720	360	373650	aac	2	155998
HITCH.mp4	393128328	mov,mp4,m4a,3gp,3g2,mj2	7096.412880	mpeg4	368	208	306886	aac	2	131077
HOLES.m4v	1281914422	mov,mp4,m4a,3gp,3g2,mj2	7044.981011	h264	710	460	1285234	aac	2	164475
HORTON_HEARS_A_WHO.m4v	763368835	mov,mp4,m4a,3gp,3g2,mj2	5170.014844	h264	720	480	1010021	aac	2	165172
HowToTrainYourDragon-ipad.m4v	912120057	mov,mp4,m4a,3gp,3g2,mj2	5871.018667	h264	720	368	1076911	aac	2	159712
HuckFinn.m4v	842506954	mov,mp4,m4a,3gp,3g2,mj2	4631.059767	h264	716	480	1320469	aac	2	129942
Incredibles.mp4	627261541	mov,mp4,m4a,3gp,3g2,mj2	6924.423344	h264	720	304	587333	aac	2	132342
INDIANA_JONES_LAST_CRUSADE.m4v	1286842848	mov,mp4,m4a,3gp,3g2,mj2	7612.004400	h264	718	480	1181551	aac	2	164416
INDIANA_JONES_RAIDERS_LOST_ARK.m4v	1118477178	mov,mp4,m4a,3gp,3g2,mj2	6916.628000	h264	716	480	1122099	aac	2	165094
INDIANA_JONES_TEMPLE_DOOM.m4v	1199582366	mov,mp4,m4a,3gp,3g2,mj2	7105.620000	h264	716	480	1178265	aac	2	165838
INSIDE_OUT.m4v	874685649	mov,mp4,m4a,3gp,3g2,mj2	5678.601856	h264	720	480	1064399	aac	2	160293
IRON_MAN.m4v	813494573	mov,mp4,m4a,3gp,3g2,mj2	7561.253678	h264	718	360	690721	aac	2	163492
JohnnyLingo.m4v	1494669367	mov,mp4,m4a,3gp,3g2,mj2	5466.994867	h264	720	368	2022274	aac	2	159908
JohnnyLingo.m4v.mp4	1494669367	mov,mp4,m4a,3gp,3g2,mj2	5466.994867	h264	720	368	2022274	aac	2	159908
JUST_GO_WITH_IT.m4v	903057297	mov,mp4,m4a,3gp,3g2,mj2	6991.993322	h264	720	460	867566	aac	2	159186
JUSTICE_LEAGUE.m4v	966397548	mov,mp4,m4a,3gp,3g2,mj2	7202.538000	h264	720	480	902809	aac	2	164175
KarateKid.mp4	837511516	mov,mp4,m4a,3gp,3g2,mj2	7613.546667	h264	640	480	746562	aac	2	127968
KING_AND_I.mp4	1087759492	mov,mp4,m4a,3gp,3g2,mj2	5320.941000	h264	718	464	1079341	aac	2	162855
KNIGHT_AND_DAY_FR.m4v	911707086	mov,mp4,m4a,3gp,3g2,mj2	6571.146078	h264	718	360	939364	aac	2	164622
KNIGHT_AND_DAY_FR.m4v.mp4	911707086	mov,mp4,m4a,3gp,3g2,mj2	6571.146078	h264	718	360	939364	aac	2	164622
KUNG_FU_PANDA.mp4	736497943	mov,mp4,m4a,3gp,3g2,mj2	5518.529656	h264	716	364	898900	aac	2	163780
LastMimzy.m4v	771048628	mov,mp4,m4a,3gp,3g2,mj2	5771.782656	h264	720	368	902448	aac	2	159963
LEAP_YEAR.m4v	632654739	mov,mp4,m4a,3gp,3g2,mj2	6016.485467	h264	720	354	671581	aac	2	163576
LEAP_YEAR.m4v.mp4	632654739	mov,mp4,m4a,3gp,3g2,mj2	6016.485467	h264	720	354	671581	aac	2	163576
LIFE_AS_WE_KNOW_IT.m4v	649400361	mov,mp4,m4a,3gp,3g2,mj2	6874.516000	h264	720	356	594724	aac	2	154503
LION.m4v	483589203	mov,mp4,m4a,3gp,3g2,mj2	7112.872411	h264	720	356	373444	aac	2	163973
LittleRascals.m4v	1290043396									
LOONEY_TUNES_GOLDEN_DISC_1.m4v	2241474900	mov,mp4,m4a,3gp,3g2,mj2	6227.093333	h264	720	480	2709209	aac	1	164688
LOONEY_TUNES_GOLDEN_DISC_2.m4v	2000377075	mov,mp4,m4a,3gp,3g2,mj2	6009.536000	h264	720	480	2492600	aac	1	164628
LOONEY_TUNES_GOLDEN_DISC_3.m4v	2360232690	mov,mp4,m4a,3gp,3g2,mj2	6186.470989	h264	720	480	2881818	aac	1	164662
LOONEY_TUNES_GOLDEN_DISC_4.m4v	1903374071	mov,mp4,m4a,3gp,3g2,mj2	5963.438211	h264	720	480	2383150	aac	1	164549
LOONEY_TUNES_GOLDEN_DISC_6.m4v	2643966652	mov,mp4,m4a,3gp,3g2,mj2	6546.352589	h264	720	478	3060811	aac	1	164374
LOONEY_TUNES_GOLDEN_DISC_7.m4v	1954857339	mov,mp4,m4a,3gp,3g2,mj2	6567.768800	h264	718	478	2210996	aac	1	164389
LOONEY_TUNES_GOLDEN_DISC_8.m4v	2717511339	mov,mp4,m4a,3gp,3g2,mj2	6767.483133	h264	720	478	3042441	aac	1	164511
LOONEY_TUNES_GOLDEN_DISK_5.m4v	2527631638	mov,mp4,m4a,3gp,3g2,mj2	6630.614556	h264	718	478	2880685	aac	1	163107
LOONEY_TUNES_GOLDEN_V4_D1.m4v	2441043018	mov,mp4,m4a,3gp,3g2,mj2	6402.683956	h264	720	478	2879690	aac	1	164543
LOONEY_TUNES_GOLDEN_V4_D2.m4v	3581483459	mov,mp4,m4a,3gp,3g2,mj2	6503.620578	h264	720	478	4235454	aac	1	164425
LOONEY_TUNES_GOLDEN_V4_D3.m4v	1412236091	mov,mp4,m4a,3gp,3g2,mj2	5822.128933	h264	720	478	1770021	aac	1	164611
LOONEY_TUNES_GOLDEN_V4_D4.m4v	2750592759	mov,mp4,m4a,3gp,3g2,mj2	6298.690622	h264	720	478	3323435	aac	1	164477
LOONEY_TUNES_GOLDEN_V5_D1.m4v	2076756199	mov,mp4,m4a,3gp,3g2,mj2	6393.442311	h264	720	478	2428111	aac	1	164690
LOONEY_TUNES_GOLDEN_V5_D2.m4v	2633070351	mov,mp4,m4a,3gp,3g2,mj2	6546.184478	h264	720	478	3047587	aac	1	164375
LOONEY_TUNES_GOLDEN_V5_D3.m4v	3242648796	mov,mp4,m4a,3gp,3g2,mj2	6371.106689	h264	720	478	3901570	aac	1	164470
LOONEY_TUNES_GOLDEN_V5_D4.m4v	2340796311	mov,mp4,m4a,3gp,3g2,mj2	6562.537100	h264	720	478	2683247	aac	1	164460
LOONEYTUNES_GOLD_VOLUME6_DISC1.m4v	2003727399	mov,mp4,m4a,3gp,3g2,mj2	6288.072611	h264	720	480	2379088	aac	1	164536
LOONEYTUNES_GOLD_VOLUME6_DISC2.m4v	2881815808	mov,mp4,m4a,3gp,3g2,mj2	6703.758456	h264	720	480	3268920	aac	1	164510
LOONEYTUNES_GOLD_VOLUME6_DISC3.m4v	2880988074									
